STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
CLWE,120.159300000000002,-23.863099999999999,C,,560,nan,225,nan,nan,nan
CA06,120.700000000000003,-20.840800000000002,D,,270,nan,236,nan,nan,nan
CESV,119.790800000000004,-23.593299999999999,B,,1100,nan,332,nan,nan,nan
ASR02,131.967299999999994,-26.997599999999998,CD,,360,nan,294,nan,nan,nan
SC08,131.367199999999997,-22.274799999999999,CD,,360,nan,239,nan,nan,nan
SD01,128.303500000000014,-25.033799999999999,B,,1100,nan,381,nan,nan,nan
BL17,133.111060000000009,-25.548719999999999,C,,560,nan,444,nan,nan,nan
SC06,128.117899999999992,-19.143699999999999,D,,270,nan,301,nan,nan,nan
KA08,126.016120000000001,-18.867999999999999,BC,,760,nan,339,nan,nan,nan
CA33,124.216999999999999,-17.438300000000002,D,,270,nan,257,nan,nan,nan
CA35,124.736000000000004,-17.391400000000001,D,,270,nan,311,nan,nan,nan
CA34,124.503000000000000,-17.419699999999999,D,,270,nan,228,nan,nan,nan
SC03,129.316800000000001,-16.629799999999999,D,,270,nan,280,nan,nan,nan
KA09,127.464500000000001,-17.281300000000002,D,,270,nan,363,nan,nan,nan
KA03,127.247799999999998,-15.928200000000000,D,,270,nan,440,nan,nan,nan
CA36,124.864000000000004,-17.235299999999999,D,,270,nan,263,nan,nan,nan
KA05,124.912300000000002,-16.819500000000001,B,,1100,nan,509,nan,nan,nan
CA37,124.994000000000000,-17.143300000000000,B,,1100,nan,330,nan,nan,nan
KA02,128.000000000000000,-16.012799999999999,D,,270,nan,794,nan,nan,nan
